,DJI_label,NASDAQ_label,NYSE_label,RUSSELL_label,S&P_label
862,0,0,0,0,0
991,0,0,0,1,0
203,0,0,1,1,0
1121,0,0,0,0,0
670,1,0,1,0,1
799,0,0,0,0,0
816,0,0,1,1,0
1678,1,1,1,1,1
70,0,0,0,0,0
1004,1,1,0,1,1
1308,0,0,0,0,0
1409,1,1,1,1,1
185,1,1,1,1,1
693,0,1,0,0,0
600,1,1,1,1,1
1637,1,1,1,1,1
1030,1,1,1,1,1
1334,0,0,0,0,0
184,0,0,0,0,0
973,1,0,1,1,1
401,1,1,1,1,1
369,0,0,0,0,0
234,1,0,1,0,1
1640,0,0,0,0,0
142,0,1,1,1,1
1301,0,0,0,0,0
1014,1,1,1,1,1
1042,0,0,0,0,0
533,0,0,0,0,0
990,0,0,0,0,0
1628,0,0,0,1,0
794,1,1,1,0,1
1125,1,0,1,1,1
180,0,0,0,0,0
1510,1,1,1,1,1
594,0,1,0,0,0
1072,1,1,1,1,1
620,1,0,1,0,0
1318,0,0,0,0,0
792,0,0,0,0,0
101,0,0,0,0,0
606,0,0,0,0,0
1033,0,0,1,0,0
425,1,1,1,1,1
187,1,1,1,0,1
1636,0,0,0,0,0
717,0,0,0,0,0
301,1,1,1,1,1
454,1,1,1,1,1
589,1,1,1,1,1
1700,1,1,1,1,1
1712,0,0,0,0,0
832,1,0,0,0,0
879,0,0,0,0,0
1152,1,1,1,1,1
104,0,0,0,0,0
303,1,1,1,1,1
781,0,0,0,0,0
506,0,1,1,1,0
1749,0,1,1,1,1
1193,1,1,1,1,1
906,0,0,0,0,0
803,0,0,1,0,0
1610,0,0,0,0,0
140,0,0,0,0,0
1705,0,0,0,0,0
1630,0,0,0,0,0
1114,0,0,0,0,0
1232,0,0,0,0,0
1458,0,0,0,1,0
469,1,1,1,1,1
135,1,1,1,1,1
91,1,1,1,1,1
1530,1,0,1,1,1
1607,0,0,0,0,0
996,0,0,0,0,0
33,0,0,0,0,0
1755,0,0,0,0,0
697,0,1,0,1,1
424,0,0,0,0,0
1111,1,1,1,1,1
700,1,1,1,1,1
1502,1,1,1,1,1
1395,0,0,1,1,0
452,1,1,1,1,1
1381,1,1,1,1,1
900,1,0,0,0,1
396,1,0,1,1,1
881,0,0,1,0,0
35,1,1,1,1,1
722,1,1,1,1,1
1070,1,1,1,1,1
1385,1,1,1,1,1
1575,0,0,0,0,0
1514,1,1,1,1,1
1661,1,1,0,1,1
1143,0,0,0,0,0
465,0,0,0,0,0
796,0,0,0,0,0
1275,1,1,1,1,1
1151,1,0,1,0,0
407,0,0,0,0,0
732,0,0,0,0,0
1363,0,0,0,0,0
1590,0,1,0,0,0
361,1,1,1,1,1
1430,0,0,0,0,0
1412,1,0,1,1,0
5,0,0,0,0,0
98,1,1,1,1,1
1054,1,0,1,0,0
220,0,1,1,0,1
1327,1,1,1,0,1
445,0,0,0,0,0
1011,1,0,1,1,1
1235,0,0,0,0,0
1604,1,1,1,1,1
139,0,0,0,0,0
1155,1,1,1,1,1
836,0,0,0,0,0
1759,0,0,0,0,0
1531,1,1,1,1,1
1746,0,0,0,0,0
918,1,1,1,0,1
310,0,0,0,0,0
737,0,1,0,1,0
1082,0,0,0,0,0
49,0,1,1,1,0
314,1,0,1,0,1
1058,0,0,0,0,0
167,0,1,0,0,0
1643,0,1,0,1,0
1056,1,1,1,0,1
1565,1,0,1,1,1
699,1,1,1,1,1
1068,0,0,0,0,0
765,1,0,1,1,0
178,0,0,1,1,1
643,1,1,1,1,1
1216,0,0,0,0,0
54,0,0,0,0,0
710,1,1,1,1,1
1378,1,1,1,1,1
1297,1,1,1,1,1
305,0,0,0,0,0
1683,1,1,1,1,1
103,1,1,1,1,1
899,1,0,1,0,0
442,1,1,1,1,1
774,1,1,1,1,1
621,0,0,0,0,0
1460,1,1,1,1,1
